Strom,PosGruppe,x1_res,y1_res,Kollision_L1,x2_res,y2_res,Kollision_L2,x3_res,y3_res,Kollision_L3
600,Pos11,-100.0,0.0,OK,0.0,0.0,OK,100.0,0.0,OK
600,Pos12,-110.0,0.0,OK,0.0,0.0,OK,110.0,0.0,OK
600,Pos13,-120.0,0.0,OK,0.0,0.0,OK,120.0,0.0,OK
600,Pos21,-97.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,97.07106781186548,7.071067811865475,OK
600,Pos22,-104.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,104.14213562373095,14.14213562373095,OK
600,Pos23,-111.21320343559643,-21.213203435596423,OK,0.0,0.0,OK,111.21320343559643,21.213203435596423,OK
600,Pos31,-90.0,-10.0,OK,0.0,10.0,OK,90.0,-10.0,OK
600,Pos32,-90.0,-20.0,OK,0.0,20.0,OK,90.0,-20.0,OK
600,Pos33,-90.0,-30.0,OK,0.0,30.0,OK,90.0,-30.0,OK
600,Pos41,-97.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,97.07106781186548,-7.071067811865475,OK
600,Pos42,-104.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,104.14213562373095,-14.14213562373095,OK
600,Pos43,-111.21320343559643,-21.213203435596423,OK,0.0,30.0,OK,111.21320343559643,-21.213203435596423,OK
800,Pos11,-100.0,0.0,OK,0.0,0.0,OK,100.0,0.0,OK
800,Pos12,-110.0,0.0,OK,0.0,0.0,OK,110.0,0.0,OK
800,Pos13,-120.0,0.0,OK,0.0,0.0,OK,120.0,0.0,OK
800,Pos21,-97.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,97.07106781186548,7.071067811865475,OK
800,Pos22,-104.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,104.14213562373095,14.14213562373095,OK
800,Pos23,-111.21320343559643,-21.213203435596423,OK,0.0,0.0,OK,111.21320343559643,21.213203435596423,OK
800,Pos31,-90.0,-10.0,OK,0.0,10.0,OK,90.0,-10.0,OK
800,Pos32,-90.0,-20.0,OK,0.0,20.0,OK,90.0,-20.0,OK
800,Pos33,-90.0,-30.0,OK,0.0,30.0,OK,90.0,-30.0,OK
800,Pos41,-97.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,97.07106781186548,-7.071067811865475,OK
800,Pos42,-104.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,104.14213562373095,-14.14213562373095,OK
800,Pos43,-111.21320343559643,-21.213203435596423,OK,0.0,30.0,OK,111.21320343559643,-21.213203435596423,OK
1000,Pos11,-100.0,0.0,OK,0.0,0.0,OK,100.0,0.0,OK
1000,Pos12,-110.0,0.0,OK,0.0,0.0,OK,110.0,0.0,OK
1000,Pos13,-120.0,0.0,OK,0.0,0.0,OK,120.0,0.0,OK
1000,Pos21,-97.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,97.07106781186548,7.071067811865475,OK
1000,Pos22,-104.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,104.14213562373095,14.14213562373095,OK
1000,Pos23,-111.21320343559643,-21.213203435596423,OK,0.0,0.0,OK,111.21320343559643,21.213203435596423,OK
1000,Pos31,-90.0,-10.0,OK,0.0,10.0,OK,90.0,-10.0,OK
1000,Pos32,-90.0,-20.0,OK,0.0,20.0,OK,90.0,-20.0,OK
1000,Pos33,-90.0,-30.0,OK,0.0,30.0,OK,90.0,-30.0,OK
1000,Pos41,-97.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,97.07106781186548,-7.071067811865475,OK
1000,Pos42,-104.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,104.14213562373095,-14.14213562373095,OK
1000,Pos43,-111.21320343559643,-21.213203435596423,OK,0.0,30.0,OK,111.21320343559643,-21.213203435596423,OK
1250,Pos11,-100.0,0.0,OK,0.0,0.0,OK,100.0,0.0,OK
1250,Pos12,-110.0,0.0,OK,0.0,0.0,OK,110.0,0.0,OK
1250,Pos13,-120.0,0.0,OK,0.0,0.0,OK,120.0,0.0,OK
1250,Pos21,-97.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,97.07106781186548,7.071067811865475,OK
1250,Pos22,-104.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,104.14213562373095,14.14213562373095,OK
1250,Pos23,-111.21320343559643,-21.213203435596423,OK,0.0,0.0,OK,111.21320343559643,21.213203435596423,OK
1250,Pos31,-90.0,-10.0,OK,0.0,10.0,OK,90.0,-10.0,OK
1250,Pos32,-90.0,-20.0,OK,0.0,20.0,OK,90.0,-20.0,OK
1250,Pos33,-90.0,-30.0,OK,0.0,30.0,OK,90.0,-30.0,OK
1250,Pos41,-97.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,97.07106781186548,-7.071067811865475,OK
1250,Pos42,-104.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,104.14213562373095,-14.14213562373095,OK
1250,Pos43,-111.21320343559643,-21.213203435596423,OK,0.0,30.0,OK,111.21320343559643,-21.213203435596423,OK
1600,Pos11,-100.0,0.0,OK,0.0,0.0,OK,100.0,0.0,OK
1600,Pos12,-110.0,0.0,OK,0.0,0.0,OK,110.0,0.0,OK
1600,Pos13,-120.0,0.0,OK,0.0,0.0,OK,120.0,0.0,OK
1600,Pos21,-97.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,97.07106781186548,7.071067811865475,OK
1600,Pos22,-104.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,104.14213562373095,14.14213562373095,OK
1600,Pos23,-111.21320343559643,-21.213203435596423,OK,0.0,0.0,OK,111.21320343559643,21.213203435596423,OK
1600,Pos31,-90.0,-10.0,OK,0.0,10.0,OK,90.0,-10.0,OK
1600,Pos32,-90.0,-20.0,OK,0.0,20.0,OK,90.0,-20.0,OK
1600,Pos33,-90.0,-30.0,OK,0.0,30.0,OK,90.0,-30.0,OK
1600,Pos41,-97.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,97.07106781186548,-7.071067811865475,OK
1600,Pos42,-104.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,104.14213562373095,-14.14213562373095,OK
1600,Pos43,-111.21320343559643,-21.213203435596423,OK,0.0,30.0,OK,111.21320343559643,-21.213203435596423,OK
2000,Pos11,-140.0,0.0,OK,0.0,0.0,OK,140.0,0.0,OK
2000,Pos12,-150.0,0.0,OK,0.0,0.0,OK,150.0,0.0,OK
2000,Pos13,-160.0,0.0,OK,0.0,0.0,OK,160.0,0.0,OK
2000,Pos21,-137.07106781186548,-7.071067811865475,OK,0.0,0.0,OK,137.07106781186548,7.071067811865475,OK
2000,Pos22,-144.14213562373095,-14.14213562373095,OK,0.0,0.0,OK,144.14213562373095,14.14213562373095,OK
2000,Pos23,-151.21320343559643,-21.213203435596423,Kollision,0.0,0.0,OK,151.21320343559643,21.213203435596423,Kollision
2000,Pos31,-130.0,-10.0,OK,0.0,10.0,OK,130.0,-10.0,OK
2000,Pos32,-130.0,-20.0,OK,0.0,20.0,OK,130.0,-20.0,OK
2000,Pos33,-130.0,-30.0,Kollision,0.0,30.0,Kollision,130.0,-30.0,Kollision
2000,Pos41,-137.07106781186548,-7.071067811865475,OK,0.0,10.0,OK,137.07106781186548,-7.071067811865475,OK
2000,Pos42,-144.14213562373095,-14.14213562373095,OK,0.0,20.0,OK,144.14213562373095,-14.14213562373095,OK
2000,Pos43,-151.21320343559643,-21.213203435596423,Kollision,0.0,30.0,Kollision,151.21320343559643,-21.213203435596423,Kollision
2500,Pos11,-140.0,0.0,OK,0.0,0.0,OK,140.0,0.0,OK
2500,Pos12,-150.0,0.0,OK,0.0,0.0,OK,150.0,0.0,OK
2500,Pos13,-160.0,0.0,OK,0.0,0.0,OK,160.0,0.0,OK
2500,Pos21,-137.07106781186548,-7.071067811865475,Kollision,0.0,0.0,OK,137.07106781186548,7.071067811865475,Kollision
2500,Pos22,-144.14213562373095,-14.14213562373095,Kollision,0.0,0.0,OK,144.14213562373095,14.14213562373095,Kollision
2500,Pos23,-151.21320343559643,-21.213203435596423,Kollision,0.0,0.0,OK,151.21320343559643,21.213203435596423,Kollision
2500,Pos31,-130.0,-10.0,Kollision,0.0,10.0,Kollision,130.0,-10.0,Kollision
2500,Pos32,-130.0,-20.0,Kollision,0.0,20.0,Kollision,130.0,-20.0,Kollision
2500,Pos33,-130.0,-30.0,Kollision,0.0,30.0,Kollision,130.0,-30.0,Kollision
2500,Pos41,-137.07106781186548,-7.071067811865475,Kollision,0.0,10.0,Kollision,137.07106781186548,-7.071067811865475,Kollision
2500,Pos42,-144.14213562373095,-14.14213562373095,Kollision,0.0,20.0,Kollision,144.14213562373095,-14.14213562373095,Kollision
2500,Pos43,-151.21320343559643,-21.213203435596423,Kollision,0.0,30.0,Kollision,151.21320343559643,-21.213203435596423,Kollision
3000,Pos11,-140.0,0.0,OK,0.0,0.0,OK,140.0,0.0,OK
3000,Pos12,-150.0,0.0,OK,0.0,0.0,OK,150.0,0.0,OK
3000,Pos13,-160.0,0.0,OK,0.0,0.0,OK,160.0,0.0,OK
3000,Pos21,-137.07106781186548,-7.071067811865475,Kollision,0.0,0.0,OK,137.07106781186548,7.071067811865475,Kollision
3000,Pos22,-144.14213562373095,-14.14213562373095,Kollision,0.0,0.0,OK,144.14213562373095,14.14213562373095,Kollision
3000,Pos23,-151.21320343559643,-21.213203435596423,Kollision,0.0,0.0,OK,151.21320343559643,21.213203435596423,Kollision
3000,Pos31,-130.0,-10.0,Kollision,0.0,10.0,Kollision,130.0,-10.0,Kollision
3000,Pos32,-130.0,-20.0,Kollision,0.0,20.0,Kollision,130.0,-20.0,Kollision
3000,Pos33,-130.0,-30.0,Kollision,0.0,30.0,Kollision,130.0,-30.0,Kollision
3000,Pos41,-137.07106781186548,-7.071067811865475,Kollision,0.0,10.0,Kollision,137.07106781186548,-7.071067811865475,Kollision
3000,Pos42,-144.14213562373095,-14.14213562373095,Kollision,0.0,20.0,Kollision,144.14213562373095,-14.14213562373095,Kollision
3000,Pos43,-151.21320343559643,-21.213203435596423,Kollision,0.0,30.0,Kollision,151.21320343559643,-21.213203435596423,Kollision
4000,Pos11,-220.0,0.0,Kollision,0.0,0.0,Kollision,220.0,0.0,Kollision
4000,Pos12,-230.0,0.0,Kollision,0.0,0.0,Kollision,230.0,0.0,Kollision
4000,Pos13,-240.0,0.0,Kollision,0.0,0.0,Kollision,240.0,0.0,Kollision
4000,Pos21,-217.07106781186548,-7.071067811865475,Kollision,0.0,0.0,Kollision,217.07106781186548,7.071067811865475,Kollision
4000,Pos22,-224.14213562373095,-14.14213562373095,Kollision,0.0,0.0,Kollision,224.14213562373095,14.14213562373095,Kollision
4000,Pos23,-231.21320343559643,-21.213203435596423,Kollision,0.0,0.0,Kollision,231.21320343559643,21.213203435596423,Kollision
4000,Pos31,-210.0,-10.0,Kollision,0.0,10.0,Kollision,210.0,-10.0,Kollision
4000,Pos32,-210.0,-20.0,Kollision,0.0,20.0,Kollision,210.0,-20.0,Kollision
4000,Pos33,-210.0,-30.0,Kollision,0.0,30.0,Kollision,210.0,-30.0,Kollision
4000,Pos41,-217.07106781186548,-7.071067811865475,Kollision,0.0,10.0,Kollision,217.07106781186548,-7.071067811865475,Kollision
4000,Pos42,-224.14213562373095,-14.14213562373095,Kollision,0.0,20.0,Kollision,224.14213562373095,-14.14213562373095,Kollision
4000,Pos43,-231.21320343559643,-21.213203435596423,Kollision,0.0,30.0,Kollision,231.21320343559643,-21.213203435596423,Kollision
5000,Pos11,-220.0,0.0,Kollision,0.0,0.0,Kollision,220.0,0.0,Kollision
5000,Pos12,-230.0,0.0,Kollision,0.0,0.0,Kollision,230.0,0.0,Kollision
5000,Pos13,-240.0,0.0,Kollision,0.0,0.0,Kollision,240.0,0.0,Kollision
5000,Pos21,-217.07106781186548,-7.071067811865475,Kollision,0.0,0.0,Kollision,217.07106781186548,7.071067811865475,Kollision
5000,Pos22,-224.14213562373095,-14.14213562373095,Kollision,0.0,0.0,Kollision,224.14213562373095,14.14213562373095,Kollision
5000,Pos23,-231.21320343559643,-21.213203435596423,Kollision,0.0,0.0,Kollision,231.21320343559643,21.213203435596423,Kollision
5000,Pos31,-210.0,-10.0,Kollision,0.0,10.0,Kollision,210.0,-10.0,Kollision
5000,Pos32,-210.0,-20.0,Kollision,0.0,20.0,Kollision,210.0,-20.0,Kollision
5000,Pos33,-210.0,-30.0,Kollision,0.0,30.0,Kollision,210.0,-30.0,Kollision
5000,Pos41,-217.07106781186548,-7.071067811865475,Kollision,0.0,10.0,Kollision,217.07106781186548,-7.071067811865475,Kollision
5000,Pos42,-224.14213562373095,-14.14213562373095,Kollision,0.0,20.0,Kollision,224.14213562373095,-14.14213562373095,Kollision
5000,Pos43,-231.21320343559643,-21.213203435596423,Kollision,0.0,30.0,Kollision,231.21320343559643,-21.213203435596423,Kollision
